Week,Treatment,Original ID,Amendment,Exp,Compost,Vermiculite,Innoculum,pH,EC ,Chloride,NO3-N,Al,As,B,Ba,Be,Cd,Co,Cr,Fe,Mn,Mo,Ni,Pb,Se,Tl,V,Zn,Bi,Ca,Li,Mg,P,Sr,K,Si,Na,S,Cu,,,
1,DI,DI,DI,DI1,None,None,None,7.1,0.0012,0.48,0.03,0.167,0.1,0.007,0.0016,0.001,0.001,0.002,0.003,0.037,0.017,0.0017,0.002,0.007,0.045,0.024,0.003,0.006,0.0148,0.0971,0.008,0.241,0.3047,0.0012,0.304,0.0225,0.3226,0.5,0.003,DI,,
1,DI,DI   DUPLICATE,DI,DI2,None,None,None,7,0.0017,0.48,0.03,0.167,0.1,0.007,0.001,0.0007,0.001,0.002,0.003,0.037,0.0017,0.0017,0.002,0.007,0.045,0.024,0.003,0.006,0.0148,0.0971,0.008,0.241,0.0251,0.0012,0.304,0.0151,0.0483,0.5,0.003,DI   DUPLICATE,,
1,DI,DI   TRIPLICATE,DI,DI3,None,None,None,7,0.00092,0.48,0.03,0.167,0.1,0.007,0.001,0.0007,0.001,0.002,0.003,0.037,0.0017,0.0017,0.002,0.007,0.045,0.024,0.0057,0.006,0.0148,0.0971,0.008,0.241,0.0251,0.0012,0.304,0.0151,0.0483,0.5,0.0033,DI   TRIPLICATE,,
1,Tap,SKEEN TAP WATER,Tap,Tap,None,None,None,7.8,0.71,73.1,0.03,0.167,0.1,0.0724,0.0646,0.0007,0.001,0.002,0.003,0.0399,0.0226,0.0017,0.002,0.0203,0.045,0.024,0.003,0.007,0.0148,75.09,0.0726,13.86,0.825,0.8928,5.825,12.14,53.79,38.41,0.4185,SKEEN TAP WATER,(Very similar to my 2013 analysis),
1,RN,RN,R,Regolith/No addition,None,None,None,7.7,1.65,299.8,26.6,6.238,0.1,0.1288,0.0175,0.0007,0.001,0.0032,0.003,0.5591,0.1907,0.226,0.0052,0.0169,0.045,0.024,0.003,0.006,0.0336,127.2,0.0119,20.07,0.1907,0.2544,10.69,11.58,221.6,104.9,0.0106,RN,Regolith/No addition,
1,RA,RA,R,Regolith/Algae,None,None,Algae,7.6,1.88,289.3,35.9,6.353,0.1,0.1384,0.0223,0.0007,0.0012,0.0031,0.003,0.675,0.2139,0.2382,0.0054,0.0122,0.045,0.024,0.003,0.006,0.0407,168.6,0.0146,27.78,0.2547,0.3906,10.98,12.9,234.1,128.5,0.0156,RA,Regolith/Algae,
1,RB,RB,R,Regolith/Biocrust,None,None,Biocrust,7.8,1.5,222.6,23.8,0.167,0.1,0.1298,0.0092,0.0007,0.001,0.002,0.003,0.0596,0.1741,0.2368,0.0044,0.0148,0.045,0.024,0.003,0.006,0.0335,113.9,0.0116,18.78,0.1237,0.2363,9.467,4.338,211.4,105.8,0.0079,RB,Regolith/Biocrust,
1,RCN,RCN,RC,Regolith/Compost/No addition,Compost,None,None,6.7,40,2862.6,6155.5,0.167,1.146,1.688,2.318,0.0007,0.0231,0.002,0.003,0.8494,3.539,0.0017,0.0683,0.3022,0.045,0.024,0.003,0.006,1.033,4881,0.7775,1539,29.98,32.56,3745,40.25,1939,948,0.1762,RCN,Regolith/Compost/No addition,
1,RCA,RCA,RC,Regolith/Compost/Algae,Compost,None,Algae,7,28.3,1900.7,4075.1,0.167,0.1,1.198,1.464,0.0007,0.0267,0.002,0.003,1.635,2.371,0.0017,0.0485,0.3244,0.045,0.024,0.003,0.006,0.7549,3175,0.461,999,21.69,20.88,2315,34.86,1292,624.8,0.1176,RCA,Regolith/Compost/Algae,
1,RCB,RCB,RC,Regolith/Compost/Biocrust,Compost,None,Biocrust,7,31,2544.9,4661.1,0.167,0.1,1.283,1.672,0.0007,0.0165,0.002,0.003,1.491,2.579,0.0017,0.0584,0.217,0.045,0.024,0.003,0.006,0.8175,3596,0.6065,1124,22.65,23.81,2692,34.43,1427,715.2,0.1217,RCB,Regolith/Compost/Biocrust,
1,RVN,RVN,RV,Regolith/Vermiculite/No addition,None,Vermiculite,None,7.9,0.74,91,1.29,1.033,0.1,0.0812,0.012,0.0007,0.0018,0.002,0.003,0.0442,0.2131,0.0356,0.0025,0.007,0.045,0.0325,0.003,0.006,0.0275,45.91,0.3408,24.31,0.3724,0.3158,11.97,12.16,74.35,44.26,0.0168,RVN,Regolith/Vermiculite/No addition,
1,RVA,RVA,RV,Regolith/Vermiculite/Algae,None,Vermiculite,Algae,8,0.8,101,2.96,6.224,0.1,0.0838,0.0213,0.0007,0.0021,0.002,0.003,0.3821,0.2213,0.0331,0.0031,0.007,0.045,0.024,0.003,0.006,0.019,48.32,0.4158,29.34,0.42,0.3223,15.49,18.08,87.03,51.24,0.0195,RVA,Regolith/Vermiculite/Algae,
