Pot,Treatment,Ammendment,Rep,Compost,Vermiculite,Inoculum,Em.num,Start,P.Date,E.Date,cut_plants,P.Days,E.Days,Notes,Em.Count
RN1,RN,R,1,None,None,None,1,2/7/2022,,,,NA,NA,,
RN2,RN,R,2,None,None,None,1,2/7/2022,,,,NA,NA,,
RN3,RN,R,3,None,None,None,1,2/7/2022,2/17/2022,2/21/2022,,10,14,,1
RN4,RN,R,4,None,None,None,1,2/7/2022,,2/19/2022,,NA,12,,1
RN5,RN,R,5,None,None,None,1,2/7/2022,,,,NA,NA,,
RA1,RA,R,1,None,None,Algae,1,2/7/2022,,,,NA,NA,,
RA2,RA,R,2,None,None,Algae,1,2/7/2022,2/19/2022,2/20/2022,,12,13,,1
RA3,RA,R,3,None,None,Algae,1,2/7/2022,2/14/2022,2/20/2022,x,7,13,,1
RA4,RA,R,4,None,None,Algae,1,2/7/2022,,,,NA,NA,,
RA5,RA,R,5,None,None,Algae,1,2/7/2022,2/25/2022,,o,18,NA,,
RB1,RB,R,1,None,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RB2,RB,R,2,None,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RB3,RB,R,3,None,None,Biocrust,1,2/7/2022,2/15/2022,2/20/2022,,8,13,,1
RB4,RB,R,4,None,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RB5,RB,R,5,None,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RVN1,RVN,RV,1,None,Vermiculite,None,1,2/7/2022,,,,NA,NA,,
RVN2,RVN,RV,2,None,Vermiculite,None,1,2/7/2022,2/13/2022,2/20/2022,,6,13,,1
RVN3,RVN,RV,3,None,Vermiculite,None,1,2/7/2022,2/11/2022,2/21/2022,,4,14,,1
RVN4,RVN,RV,4,None,Vermiculite,None,1,2/7/2022,,2/17/2022,,NA,10,,1
RVN5,RVN,RV,5,None,Vermiculite,None,1,2/7/2022,,2/16/2022,x,NA,9,,1
RVA1,RVA,RV,1,None,Vermiculite,Algae,1,2/7/2022,2/14/2022,2/20/2022,,7,13,,1
RVA2,RVA,RV,2,None,Vermiculite,Algae,1,2/7/2022,,2/21/2022,,NA,14,,1
RVA3,RVA,RV,3,None,Vermiculite,Algae,1,2/7/2022,2/14/2022,2/20/2022,,7,13,,1
RVA4,RVA,RV,4,None,Vermiculite,Algae,1,2/7/2022,2/11/2022,2/13/2022,,4,6,,1
RVA5,RVA,RV,5,None,Vermiculite,Algae,1,2/7/2022,,2/14/2022,,NA,7,,1
RVB1,RVB,RV,1,None,Vermiculite,Biocrust,1,2/7/2022,,,,NA,NA,,
RVB2,RVB,RV,2,None,Vermiculite,Biocrust,1,2/7/2022,,,,NA,NA,,
RVB3,RVB,RV,3,None,Vermiculite,Biocrust,1,2/7/2022,2/16/2022,2/20/2022,,9,13,,1
RVB4,RVB,RV,4,None,Vermiculite,Biocrust,1,2/7/2022,2/15/2022,2/21/2022,x,8,14,,1
RVB5,RVB,RV,5,None,Vermiculite,Biocrust,1,2/7/2022,2/15/2022,2/20/2022,,8,13,,1
RCN1,RCN,RC,1,Compost,None,None,1,2/7/2022,,,,NA,NA,,
RCN2,RCN,RC,2,Compost,None,None,1,2/7/2022,,,,NA,NA,,
RCN3,RCN,RC,3,Compost,None,None,1,2/7/2022,,,,NA,NA,,
RCN4,RCN,RC,4,Compost,None,None,1,2/7/2022,2/11/2022,,o,4,NA,,1
RCN5,RCN,RC,5,Compost,None,None,1,2/7/2022,,,,NA,NA,,
RCA1,RCA,RC,1,Compost,None,Algae,1,2/7/2022,,,,NA,NA,,
RCA2,RCA,RC,2,Compost,None,Algae,1,2/7/2022,,,,NA,NA,,
RCA3,RCA,RC,3,Compost,None,Algae,1,2/7/2022,,,,NA,NA,,
RCA4,RCA,RC,4,Compost,None,Algae,1,2/7/2022,2/19/2022,2/20/2022,,12,13,,1
RCA5,RCA,RC,5,Compost,None,Algae,1,2/7/2022,,,,NA,NA,,
RCB1,RCB,RC,1,Compost,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RCB2,RCB,RC,2,Compost,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RCB3,RCB,RC,3,Compost,None,Biocrust,1,2/7/2022,,2/19/2022,,NA,12,,1
RCB4,RCB,RC,4,Compost,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RCB5,RCB,RC,5,Compost,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RSN1,RSN,RS,1,Sterile,None,None,1,2/7/2022,,,,NA,NA,,
RSN2,RSN,RS,2,Sterile,None,None,1,2/7/2022,,,,NA,NA,,
RSN3,RSN,RS,3,Sterile,None,None,1,2/7/2022,,,,NA,NA,,
RSN4,RSN,RS,4,Sterile,None,None,1,2/7/2022,,,,NA,NA,,
RSN5,RSN,RS,5,Sterile,None,None,1,2/7/2022,,,,NA,NA,,
RSA1,RSA,RS,1,Sterile,None,Algae,1,2/7/2022,,,,NA,NA,,
RSA2,RSA,RS,2,Sterile,None,Algae,1,2/7/2022,,,,NA,NA,,
RSA3,RSA,RS,3,Sterile,None,Algae,1,2/7/2022,,,,NA,NA,,
RSA4,RSA,RS,4,Sterile,None,Algae,1,2/7/2022,2/19/2022,2/20/2022,,12,13,,1
RSA5,RSA,RS,5,Sterile,None,Algae,1,2/7/2022,,,,NA,NA,,
RSB1,RSB,RS,1,Sterile,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RSB2,RSB,RS,2,Sterile,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RSB3,RSB,RS,3,Sterile,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RSB4,RSB,RS,4,Sterile,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RSB5,RSB,RS,5,Sterile,None,Biocrust,1,2/7/2022,,,,NA,NA,,
RVCN1,RVCN,RVC,1,Compost,Vermiculite,None,1,2/7/2022,2/11/2022,2/20/2022,x,4,13,,1
RVCN2,RVCN,RVC,2,Compost,Vermiculite,None,1,2/7/2022,2/12/2022,2/20/2022,,5,13,,1
RVCN3,RVCN,RVC,3,Compost,Vermiculite,None,1,2/7/2022,,2/19/2022,x,NA,12,,1
RVCN4,RVCN,RVC,4,Compost,Vermiculite,None,1,2/7/2022,2/11/2022,2/14/2022,,4,7,,1
RVCN5,RVCN,RVC,5,Compost,Vermiculite,None,1,2/7/2022,,,,NA,NA,,
RVCA1,RVCA,RVC,1,Compost,Vermiculite,Algae,1,2/7/2022,2/12/2022,2/14/2022,,5,7,,1
RVCA2,RVCA,RVC,2,Compost,Vermiculite,Algae,1,2/7/2022,,2/20/2022,x,NA,13,,1
RVCA3,RVCA,RVC,3,Compost,Vermiculite,Algae,1,2/7/2022,2/11/2022,2/14/2022,,4,7,,1
RVCA4,RVCA,RVC,4,Compost,Vermiculite,Algae,1,2/7/2022,2/13/2022,2/14/2022,x,6,7,,1
RVCA5,RVCA,RVC,5,Compost,Vermiculite,Algae,1,2/7/2022,2/11/2022,2/14/2022,,4,7,,1
RVCB1,RVCB,RVC,1,Compost,Vermiculite,Biocrust,1,2/7/2022,2/11/2022,,x,4,NA,,1
RVCB2,RVCB,RVC,2,Compost,Vermiculite,Biocrust,1,2/7/2022,2/12/2022,2/21/2022,,5,14,,1
RVCB3,RVCB,RVC,3,Compost,Vermiculite,Biocrust,1,2/7/2022,2/14/2022,2/21/2022,,7,14,,1
RVCB4,RVCB,RVC,4,Compost,Vermiculite,Biocrust,1,2/7/2022,2/24/2022,2/26/2022,,17,19,,1
RVCB5,RVCB,RVC,5,Compost,Vermiculite,Biocrust,1,2/7/2022,,,,NA,NA,,
CTRL1,Ctrl,Ctrl,1,None,None,None,1,2/7/2022,2/11/2022,2/12/2022,,4,5,,1
CTRL2,Ctrl,Ctrl,2,None,None,None,1,2/7/2022,,,,NA,NA,,
CTRL3,Ctrl,Ctrl,3,None,None,None,1,2/7/2022,,,,NA,NA,,
CTRL4,Ctrl,Ctrl,4,None,None,None,1,2/7/2022,2/11/2022,2/12/2022,,4,5,,1
CTRL5,Ctrl,Ctrl,5,None,None,None,1,2/7/2022,,2/12/2022,o,NA,5,,1
RN1,RN,R,1,None,None,None,2,2/7/2022,,,,NA,NA,,
RN2,RN,R,2,None,None,None,2,2/7/2022,,,,NA,NA,,
RN3,RN,R,3,None,None,None,2,2/7/2022,2/24/2022,,x,17,NA,,1
RN4,RN,R,4,None,None,None,2,2/7/2022,,,,NA,NA,,
RN5,RN,R,5,None,None,None,2,2/7/2022,,,,NA,NA,,
RA1,RA,R,1,None,None,Algae,2,2/7/2022,,,,NA,NA,,
RA2,RA,R,2,None,None,Algae,2,2/7/2022,2/19/2022,,x,#REF!,12,,1
RA3,RA,R,3,None,None,Algae,2,2/7/2022,,3/8/2022,,NA,29,,1
RA4,RA,R,4,None,None,Algae,2,2/7/2022,,,,NA,NA,,
